pref_code,pref_name,age_group,year,gengo,gengo_year,pop_total,pop_m,pop_f
1 ,Hokkaido,total,1920,Taisho,9,2359183,1244322,1114861
1 ,Hokkaido,0_ 4,1920,Taisho,9,376676,190044,186632
1 ,Hokkaido,5_ 9,1920,Taisho,9,319370,161814,157556
1 ,Hokkaido,10_ 14,1920,Taisho,9,270012,138018,131994
1 ,Hokkaido,15_ 19,1920,Taisho,9,239092,125670,113422
1 ,Hokkaido,20_ 24,1920,Taisho,9,208337,109351,98986
1 ,Hokkaido,25_ 29,1920,Taisho,9,175257,96638,78619
1 ,Hokkaido,30_ 34,1920,Taisho,9,157450,86287,71163
1 ,Hokkaido,35_ 39,1920,Taisho,9,143281,78926,64355
1 ,Hokkaido,40_ 44,1920,Taisho,9,127242,70818,56424
1 ,Hokkaido,45_ 49,1920,Taisho,9,97859,55004,42855
1 ,Hokkaido,50_ 54,1920,Taisho,9,76617,43412,33205
1 ,Hokkaido,55_ 59,1920,Taisho,9,53524,29659,23865
1 ,Hokkaido,60_ 64,1920,Taisho,9,44115,23975,20140
1 ,Hokkaido,65_ 69,1920,Taisho,9,33402,17456,15946
1 ,Hokkaido,70_ 74,1920,Taisho,9,21433,10466,10967
1 ,Hokkaido,75_ 79,1920,Taisho,9,10484,4766,5718
1 ,Hokkaido,over_80,1920,Taisho,9,5032,2018,3014
1 ,Hokkaido,total,1925,Taisho,14,2498679,1305473,1193206
1 ,Hokkaido,0_ 4,1925,Taisho,14,405607,204576,201031
1 ,Hokkaido,5_ 9,1925,Taisho,14,336438,170315,166123
1 ,Hokkaido,10_ 14,1925,Taisho,14,300821,153388,147433
1 ,Hokkaido,15_ 19,1925,Taisho,14,252275,131986,120289
1 ,Hokkaido,20_ 24,1925,Taisho,14,215391,112790,102601
1 ,Hokkaido,25_ 29,1925,Taisho,14,186159,99237,86922
1 ,Hokkaido,30_ 34,1925,Taisho,14,152114,83238,68876
1 ,Hokkaido,35_ 39,1925,Taisho,14,139774,76040,63734
1 ,Hokkaido,40_ 44,1925,Taisho,14,126620,68948,57672
1 ,Hokkaido,45_ 49,1925,Taisho,14,112769,61572,51197
1 ,Hokkaido,50_ 54,1925,Taisho,14,85288,46801,38487
1 ,Hokkaido,55_ 59,1925,Taisho,14,64998,35637,29361
1 ,Hokkaido,60_ 64,1925,Taisho,14,43812,23516,20296
1 ,Hokkaido,65_ 69,1925,Taisho,14,33679,17441,16238
1 ,Hokkaido,70_ 74,1925,Taisho,14,23395,11550,11845
1 ,Hokkaido,75_ 79,1925,Taisho,14,12971,5829,7142
1 ,Hokkaido,80_ 84,1925,Taisho,14,5054,2084,2970
1 ,Hokkaido,over_85,1925,Taisho,14,1514,525,989
1 ,Hokkaido,total,1930,Showa,5,2812335,1468540,1343795
1 ,Hokkaido,0_ 4,1930,Showa,5,445457,224549,220908
1 ,Hokkaido,5_ 9,1930,Showa,5,383080,193478,189602
1 ,Hokkaido,10_ 14,1930,Showa,5,329334,167701,161633
1 ,Hokkaido,15_ 19,1930,Showa,5,296826,154310,142516
1 ,Hokkaido,20_ 24,1930,Showa,5,248258,132268,115990
1 ,Hokkaido,25_ 29,1930,Showa,5,214713,116156,98557
1 ,Hokkaido,30_ 34,1930,Showa,5,180075,97392,82683
1 ,Hokkaido,35_ 39,1930,Showa,5,148585,81969,66616
1 ,Hokkaido,40_ 44,1930,Showa,5,132094,71915,60179
1 ,Hokkaido,45_ 49,1930,Showa,5,117921,63638,54283
1 ,Hokkaido,50_ 54,1930,Showa,5,102601,55382,47219
1 ,Hokkaido,55_ 59,1930,Showa,5,76118,40916,35202
1 ,Hokkaido,60_ 64,1930,Showa,5,55651,29551,26100
1 ,Hokkaido,65_ 69,1930,Showa,5,35062,18006,17056
1 ,Hokkaido,70_ 74,1930,Showa,5,23986,11630,12356
1 ,Hokkaido,75_ 79,1930,Showa,5,14204,6488,7716
1 ,Hokkaido,over_80,1930,Showa,5,8370,3191,5179
1 ,Hokkaido,total,1935,Showa,10,3068282,1593845,1474437
1 ,Hokkaido,0_ 4,1935,Showa,10,462550,234131,228419
1 ,Hokkaido,5_ 9,1935,Showa,10,417967,210495,207472
1 ,Hokkaido,10_ 14,1935,Showa,10,372110,188761,183349
1 ,Hokkaido,15_ 19,1935,Showa,10,317212,164046,153166
1 ,Hokkaido,20_ 24,1935,Showa,10,278229,145037,133192
1 ,Hokkaido,25_ 29,1935,Showa,10,234977,126338,108639
1 ,Hokkaido,30_ 34,1935,Showa,10,201819,108882,92937
1 ,Hokkaido,35_ 39,1935,Showa,10,169407,91739,77668
1 ,Hokkaido,40_ 44,1935,Showa,10,136412,75205,61207
1 ,Hokkaido,45_ 49,1935,Showa,10,121204,65577,55627
1 ,Hokkaido,50_ 54,1935,Showa,10,106400,56631,49769
1 ,Hokkaido,55_ 59,1935,Showa,10,90828,47891,42937
1 ,Hokkaido,60_ 64,1935,Showa,10,65172,34025,31147
1 ,Hokkaido,65_ 69,1935,Showa,10,44236,22517,21719
1 ,Hokkaido,70_ 74,1935,Showa,10,25466,12321,13145
1 ,Hokkaido,75_ 79,1935,Showa,10,14770,6541,8229
1 ,Hokkaido,over_80,1935,Showa,10,9523,3708,5815
1 ,Hokkaido,total,1940,Showa,15,3272012,1695083,1576929
1 ,Hokkaido,0_ 4,1940,Showa,15,456318,230441,225877
1 ,Hokkaido,5_ 9,1940,Showa,15,430141,217615,212526
1 ,Hokkaido,10_ 14,1940,Showa,15,401194,202527,198667
1 ,Hokkaido,15_ 19,1940,Showa,15,354389,182608,171781
1 ,Hokkaido,20_ 24,1940,Showa,15,291584,150654,140930
1 ,Hokkaido,25_ 29,1940,Showa,15,259621,138081,121540
1 ,Hokkaido,30_ 34,1940,Showa,15,220332,119732,100600
1 ,Hokkaido,35_ 39,1940,Showa,15,190365,103303,87062
1 ,Hokkaido,40_ 44,1940,Showa,15,156820,84964,71856
1 ,Hokkaido,45_ 49,1940,Showa,15,124292,68003,56289
1 ,Hokkaido,50_ 54,1940,Showa,15,109273,58414,50859
1 ,Hokkaido,55_ 59,1940,Showa,15,93436,48745,44691
1 ,Hokkaido,60_ 64,1940,Showa,15,77004,39157,37847
1 ,Hokkaido,65_ 69,1940,Showa,15,51494,25585,25909
1 ,Hokkaido,70_ 74,1940,Showa,15,31322,14943,16379
1 ,Hokkaido,75_ 79,1940,Showa,15,15130,6743,8387
1 ,Hokkaido,80_ 84,1940,Showa,15,6454,2592,3862
1 ,Hokkaido,over_85,1940,Showa,15,2829,972,1857
1 ,Hokkaido,total,1945,Showa,20,3518389,1738623,1779766
1 ,Hokkaido,1_ 5,1945,Showa,20,497219,252253,244966
1 ,Hokkaido,6_ 10,1945,Showa,20,447774,226133,221641
1 ,Hokkaido,11_ 15,1945,Showa,20,436104,220621,215483
1 ,Hokkaido,16_ 20,1945,Showa,20,398031,200381,197650
1 ,Hokkaido,21_ 25,1945,Showa,20,296266,125878,170388
1 ,Hokkaido,26_ 30,1945,Showa,20,251138,113300,137838
1 ,Hokkaido,31_ 35,1945,Showa,20,226494,106578,119916
1 ,Hokkaido,36_ 40,1945,Showa,20,205518,104367,101151
1 ,Hokkaido,41_ 45,1945,Showa,20,180418,94652,85766
1 ,Hokkaido,46_ 50,1945,Showa,20,149246,78458,70788
1 ,Hokkaido,51_ 55,1945,Showa,20,116448,62134,54314
1 ,Hokkaido,56_ 60,1945,Showa,20,100043,51867,48176
1 ,Hokkaido,61_ 65,1945,Showa,20,81130,40623,40507
1 ,Hokkaido,66_ 70,1945,Showa,20,62712,30303,32409
1 ,Hokkaido,71_ 75,1945,Showa,20,39498,18367,21131
1 ,Hokkaido,76_ 80,1945,Showa,20,19655,8543,11112
1 ,Hokkaido,81_ 85,1945,Showa,20,7832,3182,4650
1 ,Hokkaido,86以上,1945,Showa,20,2863,983,1880
1 ,Hokkaido,total,1950,Showa,25,4295567,2169393,2126174
1 ,Hokkaido,0_ 4,1950,Showa,25,663628,338126,325502
1 ,Hokkaido,5_ 9,1950,Showa,25,524173,266014,258159
1 ,Hokkaido,10_ 14,1950,Showa,25,472030,238681,233349
1 ,Hokkaido,15_ 19,1950,Showa,25,455200,230778,224422
1 ,Hokkaido,20_ 24,1950,Showa,25,414482,212766,201716
1 ,Hokkaido,25_ 29,1950,Showa,25,334066,160615,173451
1 ,Hokkaido,30_ 34,1950,Showa,25,276842,133284,143558
1 ,Hokkaido,35_ 39,1950,Showa,25,249904,125239,124665
1 ,Hokkaido,40_ 44,1950,Showa,25,212512,110617,101895
1 ,Hokkaido,45_ 49,1950,Showa,25,182023,96002,86021
1 ,Hokkaido,50_ 54,1950,Showa,25,145259,76510,68749
1 ,Hokkaido,55_ 59,1950,Showa,25,112609,59652,52957
1 ,Hokkaido,60_ 64,1950,Showa,25,92453,47034,45419
1 ,Hokkaido,65_ 69,1950,Showa,25,70010,34088,35922
1 ,Hokkaido,70_ 74,1950,Showa,25,49493,22882,26611
1 ,Hokkaido,75_ 79,1950,Showa,25,26482,11612,14870
1 ,Hokkaido,over_80,1950,Showa,25,14319,5451,8868
1 ,Hokkaido,total,1955,Showa,30,4773087,2428833,2344254
1 ,Hokkaido,0_ 4,1955,Showa,30,578015,295270,282745
1 ,Hokkaido,5_ 9,1955,Showa,30,652105,332268,319837
1 ,Hokkaido,10_ 14,1955,Showa,30,520095,263869,256226
1 ,Hokkaido,15_ 19,1955,Showa,30,478640,243826,234814
