Month,Tokyo_high,Tokyo_low,Sapporo_high,Sapporo_low,Osaka_high,Osaka_low,Naha_high,Naha_low
2015/1,10.4,1.8,1.2,-4.6,9.3,3.3,19.1,14.3
2015/2,10.4,1.9,1.9,-3.6,10.6,3.7,19.5,14.4
2015/3,15.5,5.8,7.3,0.7,14.4,6.3,21.8,16.8
2015/4,19.3,10.1,13.7,4.6,20.3,11.8,24.9,20.1
2015/5,26.4,16.6,19.6,9.7,27,16.9,27.7,22.9
2015/6,26.4,18.6,21,13.5,27.1,19.4,31.3,26.9
2015/7,30.1,23.2,26,18,30.6,23.9,31.6,27
2015/8,30.5,23.9,26.4,19.4,33.2,25.1,31.3,26.6
2015/9,26.4,19.8,22.5,14.9,27.4,20,30.4,25.7
2015/10,22.7,14.8,15.2,6.7,24,14.7,28.3,23.3
2015/11,17.8,10.7,8.6,2.2,18.7,12.4,26.5,21.6
2015/12,13.4,5.8,3.7,-2.2,13.8,6.8,22.5,17.9
2016/1,10.6,1.8,-1.3,-5.9,10.3,3.4,19.9,14.9
2016/2,12.2,3.1,0.7,-5.5,11.5,3.7,19.4,14.4
2016/3,14.9,6.1,5.8,-1.8,15.6,6.5,21.4,16.4
2016/4,20.3,11.3,12.4,4.2,21.3,12.5,25.7,20.9
2016/5,25.2,15.7,20.3,10.6,26.3,16.8,28.5,23.6
2016/6,26.3,19.1,20.3,13.4,27.6,19.8,31,26.4
2016/7,29.7,22.1,25,17.6,32.6,24.8,32.6,27.6
2016/8,31.6,23.9,28.3,20.4,35,26,32.3,27.3
2016/9,27.7,21.9,23.6,15.8,29.8,22.8,31.1,26.4
2016/10,22.6,15.3,14.6,6.9,24.8,16.8,30.1,25.9
2016/11,15.5,8.1,5.4,-0.8,17.4,10,26.1,20.7
2016/12,13.8,4.5,2.1,-4.3,13.1,5.8,23.1,18.5
2017/1,10.8,1.7,-1.1,-7,10,2.9,21,16.4
2017/2,12.1,2.6,1,-5.3,10.2,2.9,19.7,14.7
2017/3,13.4,4.2,4.5,-1.5,13.7,5.6,20.9,15.9
2017/4,19.9,10.2,12.3,3.4,20,11.3,24.5,19.4
2017/5,25.1,16,19.7,10.2,26,16.8,26.9,22.1
2017/6,26.4,18.5,20.7,12.1,27.5,18.8,29,24.7
2017/7,31.8,24,27.7,19.3,33.1,25.9,33.3,27.6
2017/8,30.4,23.4,25.8,18.5,33.8,25.9,33.6,28.3
2017/9,26.8,19.5,22.5,13.7,28.4,20.9,31.7,26.6
2017/10,20.1,14.2,15.4,7.2,21.6,15.7,29.7,25
2017/11,16.6,7.9,7.7,0.6,16.6,8.9,25.3,20.8
2017/12,11.1,2.7,0.8,-5,10.7,3.7,20.4,15.9
2018/1,9.4,0.6,0,-5.5,8.4,1.8,19.6,15
2018/2,10.1,1.3,-1,-7.6,9.2,1.9,19.6,14.4
2018/3,16.9,6.5,6.1,-1.5,16.6,6.7,22.8,17.3
2018/4,22.1,12.4,13,4.1,21.6,12.4,24.9,19.1
2018/5,24.6,15.4,18.3,9.3,24.6,16.3,28.9,23.4
2018/6,26.6,19.1,21.1,13,27.9,20,30.5,25.8
2018/7,32.7,25,25.7,18.2,34.2,26.1,30.8,26.5
2018/8,32.5,24.6,25,18.3,34.6,26.3,31.2,26.4
2018/9,26.6,19.9,23.1,14.9,27.6,21.2,31.1,26.4
2018/10,23,15.8,17.7,9.1,23.9,16.3,26.4,21.9
2018/11,17.7,10.6,9.6,3.2,18.9,10.9,25.7,21.1
2018/12,12.1,4.7,1.4,-4,13,6.2,22.8,18.4
